"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Pyruvate kinase isozymes M1/M2","PKM","P14618","CHEMBL1075189","Enzyme","0.0","11 /  0     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.0","4 /  0     "
"Prostatic acid phosphatase","ACPP","P15309","CHEMBL2633","Enzyme","0.0","9 /  0     "
"Chymase","CMA1","P23946","CHEMBL4068","Protease","0.0","10 /  0     "
"Cathepsin G","CTSG","P08311","CHEMBL4071","Protease","0.0","1 /  0     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.0","6 /  0     "
"Cyclophilin A","PPIA","P62937","CHEMBL1949","Isomerase","0.0","11 /  0     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.0","43 /  0     "
"Serine/threonine-protein kinase/endoribonuclease IRE1","ERN1","O75460","CHEMBL1163101","Enzyme","0.0","6 /  0     "
"Hypoxanthine-guanine phosphoribosyltransferase","HPRT1","P00492","CHEMBL2360","Enzyme","0.0","13 /  0     "
"ELAV-like protein 1","ELAVL1","Q15717","CHEMBL1250379","Unclassified protein","0.0","1 /  0     "
"Carbonic anhydrase XII","CA12","O43570","CHEMBL3242","Lyase","0.0","24 /  0     "
"Prostanoid EP3 receptor","PTGER3","P43115","CHEMBL3710","Family A G protein-coupled receptor","0.0","45 /  0     "
"Gamma-amino-N-butyrate transaminase   (by homology)","ABAT","P80404","CHEMBL2044","Transferase","0.0","0 /  10     "
"Retinoid X receptor alpha","RXRA","P19793","CHEMBL2061","Nuclear receptor","0.0","1 /  0     "
"Acyl coenzyme A:cholesterol acyltransferase","CES1","P23141","CHEMBL2265","Enzyme","0.0","8 /  0     "
"Carboxylesterase 2","CES2","O00748","CHEMBL3180","Enzyme","0.0","9 /  0     "
"Arachidonate 12-lipoxygenase","ALOX12","P18054","CHEMBL3687","Enzyme","0.0","7 /  0     "
"Carbonic anhydrase VII","CA7","P43166","CHEMBL2326","Lyase","0.0","13 /  0     "
"Carbonic anhydrase XIV","CA14","Q9ULX7","CHEMBL3510","Lyase","0.0","9 /  0     "
"Inhibitor of NF-kappa-B kinase (IKK)","CHUK","O15111","CHEMBL3476","Kinase","0.0","1 /  0     "
"Aminopeptidase N","ANPEP","P15144","CHEMBL1907","Protease","0.0","2 /  0     "
"Epoxide hydrolase 1","EPHX1","P07099","CHEMBL1968","Protease","0.0","4 /  0     "
"Dual specificity protein kinase TTK","TTK","P33981","CHEMBL3983","Kinase","0.0","1 /  0     "
"c-Jun N-terminal kinase 1","MAPK8","P45983","CHEMBL2276","Kinase","0.0","2 /  0     "
"c-Jun N-terminal kinase 2","MAPK9","P45984","CHEMBL4179","Kinase","0.0","2 /  0     "
"Indoleamine 2,3-dioxygenase","IDO1","P14902","CHEMBL4685","Enzyme","0.0","5 /  0     "
"Phosphodiesterase 10A","PDE10A","Q9Y233","CHEMBL4409","Phosphodiesterase","0.0","18 /  0     "
"Inhibitor of apoptosis protein 3","XIAP","P98170","CHEMBL4198","Other cytosolic protein","0.0","4 /  0     "
"Histamine H3 receptor","HRH3","Q9Y5N1","CHEMBL264","Family A G protein-coupled receptor","0.0","0 /  48     "
"NF-kappaB inhibitor alpha","NFKBIA","P25963","CHEMBL2898","Other cytosolic protein","0.0","7 /  0     "
"Serine/threonine-protein kinase B-raf","BRAF","P15056","CHEMBL5145","Kinase","0.0","8 /  0     "
"Nuclear factor NF-kappa-B p65 subunit","RELA","Q04206","CHEMBL5533","Transcription factor","0.0","9 /  0     "
"Insulin-like growth factor I receptor","IGF1R","P08069","CHEMBL1957","Kinase","0.0","11 /  0     "
"Endothelial lipase","LIPG","Q9Y5X9","CHEMBL5080","Hydrolase","0.0","1 /  0     "
"Lipoprotein lipase   (by homology)","LPL","P06858","CHEMBL2060","Hydrolase","0.0","1 /  0     "
"Leukocyte common antigen","PTPRC","P08575","CHEMBL3243","Enzyme","0.0","1 /  0     "
"Casein kinase II alpha","CSNK2A1","P68400","CHEMBL3629","Kinase","0.0","16 /  0     "
"Protein-tyrosine phosphatase 2C","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.0","1 /  0     "
"D-amino-acid oxidase","DAO","P14920","CHEMBL5485","Enzyme","0.0","7 /  0     "
"Inosine-5'-monophosphate dehydrogenase 1","IMPDH1","P20839","CHEMBL1822","Oxidoreductase","0.0","3 /  0     "
"Melatonin receptor 1A","MTNR1A","P48039","CHEMBL1945","Family A G protein-coupled receptor","0.0","1 /  0     "
"Melatonin receptor 1B","MTNR1B","P49286","CHEMBL1946","Family A G protein-coupled receptor","0.0","1 /  0     "
"Inosine-5'-monophosphate dehydrogenase 2","IMPDH2","P12268","CHEMBL2002","Oxidoreductase","0.0","17 /  0     "
"Matrix metalloproteinase 13","MMP13","P45452","CHEMBL280","Protease","0.0","13 /  0     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.0","11 /  0     "
"Histone deacetylase 8","HDAC8","Q9BY41","CHEMBL3192","Eraser","0.0","11 /  0     "
"Matrix metalloproteinase 9","MMP9","P14780","CHEMBL321","Protease","0.0","27 /  0     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0","34 /  0     "
"Glutathione S-transferase Pi","GSTP1","P09211","CHEMBL3902","Enzyme","0.0","2 /  0     "
"Quinone reductase 2","NQO2","P16083","CHEMBL3959","Enzyme","0.0","3 /  0     "
"Matrix metalloproteinase 7","MMP7","P09237","CHEMBL4073","Protease","0.0","5 /  0     "
"Glutathione S-transferase Mu 2","GSTM2","P28161","CHEMBL4589","Enzyme","0.0","2 /  0     "
"Ectonucleoside triphosphate diphosphohydrolase 2","ENTPD2","Q9Y5L3","CHEMBL5049","Enzyme","0.0","1 /  0     "
"C-C chemokine receptor type 9","CCR9","P51686","CHEMBL5815","Family A G protein-coupled receptor","0.0","4 /  0     "
"PH domain leucine-rich repeat-containing protein phosphatase 2","PHLPP2","Q6ZVD8","CHEMBL1275209","Enzyme","0.0","1 /  0     "
"Caspase-3","CASP3","P42574","CHEMBL2334","Protease","0.0","14 /  0     "
"Gamma-secretase","PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B","P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43","CHEMBL2094135","Protease","0.0","2 /  0     "
"Peptide deformylase mitochondrial","PDF","Q9HBH1","CHEMBL4647","Enzyme","0.0","2 /  0     "
"15-hydroxyprostaglandin dehydrogenase [NAD+]","HPGD","P15428","CHEMBL1293255","Enzyme","0.0","5 /  0     "
"Cholecystokinin A receptor","CCKAR","P32238","CHEMBL1901","Family A G protein-coupled receptor","0.0","1 /  0     "
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","PFKFB3","Q16875","CHEMBL2331053","Enzyme","0.0","8 /  0     "
"Cholecystokinin B receptor","CCKBR","P32239","CHEMBL298","Family A G protein-coupled receptor","0.0","2 /  0     "
"Carbonic anhydrase VI","CA6","P23280","CHEMBL3025","Lyase","0.0","5 /  0     "
"Transcription intermediary factor 1-alpha","TRIM24","O15164","CHEMBL3108638","Reader","0.0","1 /  0     "
"Carbonic anhydrase VB","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.0","7 /  0     "
