"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.100634432184","20 /  68     "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.100634432184","0 /  1     "
"Norepinephrine transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.100634432184","0 /  3     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.100634432184","12 /  21     "
"Glutamate receptor ionotropic kainate 1","GRIK1","P39086","CHEMBL1918","Ligand-gated ion channel","0.100634432184","0 /  26     "
"Glutamate receptor ionotropic kainate 2","GRIK2","Q13002","CHEMBL3683","Ligand-gated ion channel","0.100634432184","0 /  8     "
"Prostanoid EP4 receptor   (by homology)","PTGER4","P35408","CHEMBL1836","Family A G protein-coupled receptor","0.100634432184","56 /  9     "
"Heat shock factor protein 1","HSF1","Q00613","CHEMBL5869","Other cytosolic protein","0.100634432184","1 /  0     "
"Nuclear receptor ROR-alpha","RORA","P35398","CHEMBL5868","Nuclear receptor","0.100634432184","0 /  4     "
"G-protein coupled bile acid receptor 1","GPBAR1","Q8TDU6","CHEMBL5409","Family A G protein-coupled receptor","0.100634432184","10 /  14     "
"Bile acid receptor FXR","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.100634432184","7 /  8     "
"Nuclear receptor subfamily 1 group I member 3   (by homology)","NR1I3","Q14994","CHEMBL5503","Nuclear receptor","0.100634432184","0 /  2     "
"Acyl coenzyme A:cholesterol acyltransferase","CES1","P23141","CHEMBL2265","Enzyme","0.100634432184","0 /  4     "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.100634432184","5 /  2     "
"p53-binding protein Mdm-2","MDM2","Q00987","CHEMBL5023","Other nuclear protein","0.0","24 /  0     "
"Vanilloid receptor","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.0","0 /  2     "
"DNA polymerase alpha subunit","POLA1","P09884","CHEMBL1828","Transferase","0.0","0 /  6     "
"Solute carrier family 22 member 6   (by homology)","SLC22A6","Q4U2R8","CHEMBL1641347","Electrochemical transporter","0.0","0 /  2     "
"Butyrylcholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.0","1 /  3     "
"Prostanoid IP receptor","PTGIR","P43119","CHEMBL1995","Family A G protein-coupled receptor","0.0","2 /  8     "
"DNA topoisomerase II alpha","TOP2A","P11388","CHEMBL1806","Isomerase","0.0","1 /  2     "
"Estrogen receptor alpha","ESR1","P03372","CHEMBL206","Nuclear receptor","0.0","4 /  39     "
"G protein-coupled receptor 44","PTGDR2","Q9Y5Y4","CHEMBL5071","Family A G protein-coupled receptor","0.0","16 /  0     "
"Cannabinoid receptor 1   (by homology)","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.0","2 /  7     "
"Type-1 angiotensin II receptor","AGTR1","P30556","CHEMBL227","Family A G protein-coupled receptor","0.0","55 /  0     "
"5-lipoxygenase activating protein","ALOX5AP","P20292","CHEMBL4550","Other cytosolic protein","0.0","15 /  0     "
"MAP kinase ERK1","MAPK3","P27361","CHEMBL3385","Kinase","0.0","1 /  1     "
"Interleukin-6","IL6","P05231","CHEMBL1795129","Secreted protein","0.0","0 /  1     "
"Glutamine synthetase","GLUL","P15104","CHEMBL4612","Ligase","0.0","0 /  1     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.0","13 /  0     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0","8 /  0     "
"Matrix metalloproteinase 2","MMP2","P08253","CHEMBL333","Protease","0.0","17 /  0     "
"Indoleamine 2,3-dioxygenase","IDO1","P14902","CHEMBL4685","Enzyme","0.0","0 /  1     "
"Prostanoid EP1 receptor   (by homology)","PTGER1","P34995","CHEMBL1811","Family A G protein-coupled receptor","0.0","23 /  12     "
"Steroid 5-alpha-reductase 2","SRD5A2","P31213","CHEMBL1856","Oxidoreductase","0.0","1 /  21     "
"Leukocyte adhesion glycoprotein LFA-1 alpha","ITGAL","P20701","CHEMBL1803","Adhesion","0.0","0 /  3     "
"Sterol regulatory element-binding protein 2","SREBF2","Q12772","CHEMBL1795166","Unclassified protein","0.0","0 /  1     "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.0","1 /  4     "
"AMP deaminase 2","AMPD2","Q01433","CHEMBL2997","Enzyme","0.0","10 /  0     "
"Lysosomal protective protein","CTSA","P10619","CHEMBL6115","Protease","0.0","4 /  0     "
"Endothelin receptor ET-A   (by homology)","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.0","39 /  0     "
"Endothelin-converting enzyme 1","ECE1","P42892","CHEMBL4791","Protease","0.0","11 /  0     "
"Steroid 5-alpha-reductase 1","SRD5A1","P18405","CHEMBL1787","Oxidoreductase","0.0","0 /  6     "
